Search the first 100000000 integer powers of ^3 or more for Beal's triples.
Search begins for B^j = 0:0, log10(Bj) = 0
23.9861 log10 of highest power in the list
hardware concurrency: 16
trials, zeros, log10(A^i), log10(B^j), A, i, B, j, C, k, GCD(A B C)
44766841, 271, 11.9029, 12.6926, 9282, 3, 17017, 3, 1547, 4, 1547
45474285, 272, 12.2148, 12.7029, 11792, 3, 17152, 3, 1608, 4, 536
46197177, 273, 12.5761, 12.7134, 15561, 3, 17290, 3, 1729, 4, 1729
46497640, 274, 11.8731, 12.7182, 9072, 3, 1512, 4, 18144, 3, 1512
51203272, 275, 10.8648, 12.7825, 4184, 3, 1569, 4, 18305, 3, 523
51591158, 276, 12.4119, 12.7875, 13718, 3, 19, 10, 20577, 3, 19
52227198, 277, 12.2066, 12.7954, 11718, 3, 18414, 3, 1674, 4, 1674
52629305, 278, 12.0463, 12.8005, 1027, 4, 18486, 3, 19513, 3, 1027
52887873, 279, 11.5817, 12.8042, 7254, 3, 18538, 3, 1612, 4, 806
54106448, 280, 11.9159, 12.819, 9375, 3, 18750, 3, 375, 5, 375
54149159, 281, 11.7117, 12.8197, 8015, 3, 1603, 4, 19236, 3, 1603
54505230, 282, 11.2884, 12.8241, 181, 5, 18824, 3, 19005, 3, 181
55159030, 283, 12.5239, 12.8313, 1352, 4, 18928, 3, 21632, 3, 1352
55455571, 284, 12.6763, 12.8351, 1476, 4, 369, 5, 1845, 4, 369
59679811, 285, 11.4696, 12.8846, 6656, 3, 1664, 4, 19968, 3, 1664
60021375, 286, 12.8668, 12.8876, 1647, 4, 19764, 3, 24705, 3, 1647
60518924, 287, 12.2023, 12.8937, 11680, 3, 19856, 3, 1752, 4, 584
61430847, 288, 12.9031, 12.9031, 20000, 3, 20000, 3, 2000, 4, 2000
61687884, 289, 12.3891, 12.9064, 13480, 3, 1685, 4, 21905, 3, 1685
63037729, 290, 12.5058, 12.9208, 14744, 3, 20273, 3, 1843, 4, 1843
63207473, 291, 11.1235, 12.9228, 5103, 3, 1701, 4, 20412, 3, 1701
65066840, 292, 10.6097, 12.9421, 3440, 3, 1720, 4, 20640, 3, 1720
65371678, 293, 12.9443, 12.9443, 2, 43, 2, 43, 2, 44, 2
65758009, 294, 9.71188, 12.9492, 1727, 3, 1727, 4, 20724, 3, 1727
65873558, 295, 12.0471, 12.9502, 10368, 3, 12, 12, 72, 7, 12
65932260, 296, 9.71338, 12.9509, 1729, 3, 20748, 3, 1729, 4, 1729
66452921, 297, 10.6217, 12.9562, 3472, 3, 20832, 3, 1736, 4, 1736
67513778, 298, 12.1213, 12.9664, 10976, 3, 392, 5, 28, 9, 28
67526511, 299, 12.7246, 12.9662, 17440, 3, 1744, 4, 24416, 3, 1744
67888790, 300, 11.1642, 12.9704, 5265, 3, 21060, 3, 1755, 4, 1755
68641989, 301, 12.8841, 12.9771, 19710, 3, 1755, 4, 25785, 3, 135
70627497, 302, 12.2008, 12.9967, 11666, 3, 21490, 3, 1842, 4, 614
70712519, 303, 11.5662, 12.9976, 7168, 3, 21504, 3, 1792, 4, 1792
71866035, 304, 12.2291, 13.0081, 1141, 4, 21679, 3, 22820, 3, 1141
73285807, 305, 10.2514, 13.0211, 2613, 3, 402, 5, 21909, 3, 201
74732056, 306, 12.7265, 13.0339, 351, 5, 22113, 3, 25272, 3, 351
75522394, 307, 11.9005, 13.0412, 9265, 3, 22236, 3, 1853, 4, 1853
77478569, 308, 11.3624, 13.0583, 6130, 3, 1839, 4, 22681, 3, 613
78131982, 309, 9.24702, 13.0639, 205, 4, 410, 5, 1845, 4, 205
78409253, 310, 12.8043, 13.0658, 18540, 3, 22660, 3, 2060, 4, 2060
79167859, 311, 12.3396, 13.0724, 12978, 3, 1854, 4, 24102, 3, 1854
80044786, 312, 11.7696, 13.0799, 8379, 3, 1862, 4, 23275, 3, 931
81208611, 313, 12.7478, 13.0891, 1538, 4, 23070, 3, 26146, 3, 1538
82950667, 314, 12.2005, 13.1036, 108, 6, 23328, 3, 1944, 4, 108
84135513, 315, 10.0213, 13.1132, 2190, 3, 1898, 4, 23506, 3, 146
89753607, 316, 11.9808, 13.1562, 989, 4, 24288, 3, 24817, 3, 23
92720140, 317, 13.1141, 13.1774, 1899, 4, 24687, 3, 30384, 3, 1899
92767398, 318, 13.1774, 13.1774, 432, 5, 432, 5, 31104, 3, 432
93876121, 319, 12.4838, 13.1861, 14497, 3, 24852, 3, 2071, 4, 2071
94097143, 320, 12.2251, 13.1875, 11886, 3, 1981, 4, 25753, 3, 1981
94332239, 321, 11.5848, 13.1893, 7271, 3, 1983, 4, 25118, 3, 661
94595348, 322, 11.5327, 13.1912, 6986, 3, 24950, 3, 1996, 4, 998
95074041, 323, 13.1938, 13.1938, 25000, 3, 25000, 3, 500, 5, 500
96657459, 324, 12.4029, 13.2052, 1261, 4, 25220, 3, 26481, 3, 1261
97865947, 325, 12.2003, 13.2136, 11662, 3, 25382, 3, 2058, 4, 686
